id,make,model,year,VClass,drive,trans,fuelType,cylinders,displ,pv2,pv4,city,UCity,highway,UHighway,comb,co2,feScore,ghgScore
32309,Scion,FR-S,2013,Minicompact Cars,Rear-Wheel Drive,Manual 6-spd,Premium Gasoline,4,2.0,77,0,21.5146,27.3679,29.723000000000003,42.5082,24.5677,361,6,6
32310,Subaru,BRZ,2013,Minicompact Cars,Rear-Wheel Drive,Automatic (S6),Premium Gasoline,4,2.0,77,0,24.4382,31.5,32.7237,47.3,27.5807,321,7,7
32311,Subaru,BRZ,2013,Minicompact Cars,Rear-Wheel Drive,Manual 6-spd,Premium Gasoline,4,2.0,77,0,21.4659,27.3,29.2106,41.7,24.374000000000002,363,6,6
32312,Porsche,Panamera 4S,2013,Large Cars,All-Wheel Drive,Automatic 7-spd,Premium Gasoline,8,4.8,0,98,16.2544,20.2,23.7068,33.2,18.9326,468,4,4
32313,Porsche,Panamera S,2013,Large Cars,Rear-Wheel Drive,Automatic 7-spd,Premium Gasoline,8,4.8,0,98,16.2544,20.2,23.7068,33.2,18.9326,468,4,4
32339,Lexus,GS 450h,2013,Midsize Cars,Rear-Wheel Drive,Automatic (AV-S6),Premium Gasoline,6,3.5,0,99,29.3141,39.661,34.1668,44.2662,31.3156,283,8,8
32340,Hyundai,Sonata,2013,Large Cars,Front-Wheel Drive,Automatic 6-spd,Regular Gasoline,4,2.0,0,104,22.2521,28.4,32.8476,47.5,26.0305,342,7,7
32341,Hyundai,Sonata,2013,Large Cars,Front-Wheel Drive,Automatic 6-spd,Regular Gasoline,4,2.4,0,104,23.554000000000002,30.2388,33.7731,49.0,27.2667,327,7,7
32342,Hyundai,Sonata,2013,Large Cars,Front-Wheel Drive,Manual 6-spd,Regular Gasoline,4,2.4,0,104,23.5267,30.2,33.7116,48.9,27.2285,328,7,7
32359,Bentley,Continental GTC,2013,Subcompact Cars,All-Wheel Drive,Automatic (S8),Premium Gasoline,8,4.0,86,0,14.0639,17.4,23.9773,30.8,17.2786,517,4,4
32360,Bentley,Continental GTC,2013,Subcompact Cars,All-Wheel Drive,Automatic (S6),Premium Gasoline,12,6.0,86,0,11.2476,13.7,18.7327,24.6,13.7134,646,2,2
32361,Bentley,Continental Supersports Convertible,2013,Subcompact Cars,All-Wheel Drive,Automatic (S6),Premium Gasoline,12,6.0,86,0,11.5043,13.9,18.877,24.7,13.9574,633,2,2
32362,Bentley,Continental GT,2013,Compact Cars,All-Wheel Drive,Automatic (S8),Premium Gasoline,8,4.0,89,0,15.0109,19.0,24.4645,33.5,18.1706,488,4,4
32363,Bentley,Continental GT,2013,Compact Cars,All-Wheel Drive,Automatic (S6),Premium Gasoline,12,6.0,89,0,11.5043,13.9,18.877,24.7,13.9574,633,2,2
32364,Hyundai,Accent,2013,Compact Cars,Front-Wheel Drive,Automatic 6-spd,Regular Gasoline,4,1.6,0,90,28.0,38.2154,37.0,57.8957,31.0,285,8,8
32365,Hyundai,Accent,2013,Compact Cars,Front-Wheel Drive,Manual 6-spd,Regular Gasoline,4,1.6,0,90,28.0,38.9,37.0,56.6,32.0,276,8,8
32366,Bentley,Continental Flying Spur,2013,Midsize Cars,All-Wheel Drive,Automatic (S6),Premium Gasoline,12,6.0,102,0,11.2476,13.7,18.7327,24.6,13.7134,646,2,2
32375,Porsche,911 Carrera,2013,Minicompact Cars,Rear-Wheel Drive,Manual 7-spd,Premium Gasoline,6,3.4,70,0,18.8536,23.7,26.9699,38.2,21.8067,409,5,5
32376,Porsche,911 Carrera,2013,Minicompact Cars,Rear-Wheel Drive,Automatic (AM-S7),Premium Gasoline,6,3.4,70,0,20.1673,25.5,27.8062,39.5,23.0121,386,6,6
32377,Porsche,911 Carrera Cabriolet,2013,Minicompact Cars,Rear-Wheel Drive,Manual 7-spd,Premium Gasoline,6,3.4,68,0,19.0003,23.9,26.8407,38.0,21.8759,406,5,5
32378,Porsche,911 Carrera Cabriolet,2013,Minicompact Cars,Rear-Wheel Drive,Automatic (AM-S7),Premium Gasoline,6,3.4,68,0,20.1673,25.5,27.8062,39.5,23.0121,386,6,6
32379,Porsche,911 Carrera S,2013,Minicompact Cars,Rear-Wheel Drive,Manual 7-spd,Premium Gasoline,6,3.8,70,0,18.7066,23.5,26.9699,38.2,21.6983,411,5,5
32380,Porsche,911 Carrera S,2013,Minicompact Cars,Rear-Wheel Drive,Automatic (AM-S7),Premium Gasoline,6,3.8,70,0,19.4394,24.5,26.7761,37.9,22.1734,401,5,5
32381,Porsche,911 Carrera S Cabriolet,2013,Minicompact Cars,Rear-Wheel Drive,Manual 7-spd,Premium Gasoline,6,3.8,68,0,18.6331,23.4,26.3231,37.2,21.4534,414,5,5
32382,Porsche,911 Carrera S Cabriolet,2013,Minicompact Cars,Rear-Wheel Drive,Automatic (AM-S7),Premium Gasoline,6,3.8,68,0,18.927,23.8,26.7761,37.9,21.8031,407,5,5
32383,Porsche,911 Carrera 4,2013,Minicompact Cars,4-Wheel Drive,Manual 7-spd,Premium Gasoline,6,3.4,70,0,19.0003,23.9,26.9699,38.2,21.9144,406,5,5
32384,Porsche,911 Carrera 4,2013,Minicompact Cars,4-Wheel Drive,Automatic (AM-S7),Premium Gasoline,6,3.4,70,0,19.9494,25.2,27.3565,38.8,22.7173,391,6,6
32385,Porsche,911 Carrera 4 Cabriolet,2013,Minicompact Cars,4-Wheel Drive,Manual 7-spd,Premium Gasoline,6,3.4,68,0,18.6331,23.4,25.9987,36.7,21.3557,416,5,5
32386,Porsche,911 Carrera 4 Cabriolet,2013,Minicompact Cars,4-Wheel Drive,Automatic (AM-S7),Premium Gasoline,6,3.4,68,0,19.5853,24.7,26.6469,37.7,22.2371,399,5,5
32387,Porsche,911 Carrera 4S,2013,Minicompact Cars,4-Wheel Drive,Manual 7-spd,Premium Gasoline,6,3.8,70,0,18.4122,23.1,26.0636,36.8,21.2148,419,5,5
32388,Porsche,911 Carrera 4S,2013,Minicompact Cars,4-Wheel Drive,Automatic (AM-S7),Premium Gasoline,6,3.8,70,0,19.1468,24.1,25.9987,36.7,21.7231,408,5,5
32389,Porsche,911 Carrera 4S Cabriolet,2013,Minicompact Cars,4-Wheel Drive,Manual 7-spd,Premium Gasoline,6,3.8,68,0,18.1909,22.8,25.6084,36.1,20.9173,424,5,5
32390,Porsche,911 Carrera 4S Cabriolet,2013,Minicompact Cars,4-Wheel Drive,Automatic (AM-S7),Premium Gasoline,6,3.8,68,0,18.5595,23.3,25.8037,36.4,21.2432,419,5,5
32391,Ford,Mustang,2013,Subcompact Cars,Rear-Wheel Drive,Manual 6-spd,Premium Gasoline,8,5.8,83,0,15.1496,18.7363,23.7783,33.3083,18.1063,490,4,4
32392,Chevrolet,Camaro,2013,Compact Cars,Rear-Wheel Drive,Manual 6-spd,Premium Gasoline,8,6.2,93,0,14.2081,17.5,19.0116,26.2,16.0308,554,3,3
32393,Chevrolet,Camaro,2013,Compact Cars,Rear-Wheel Drive,Automatic (S6),Premium Gasoline,8,6.2,93,0,11.7417,14.3089,17.7734,24.391,13.857999999999999,641,2,2
32394,Chevrolet,Camaro,2013,Compact Cars,Rear-Wheel Drive,Manual 6-spd,Regular Gasoline,8,6.2,93,0,15.7648,19.5496,23.7213,33.222,18.5673,478,4,4
32395,Chevrolet,Camaro,2013,Compact Cars,Rear-Wheel Drive,Automatic 6-spd,Regular Gasoline,6,3.6,93,0,18.6331,23.4,29.3376,41.9,22.2935,399,5,5
32396,Chevrolet,Camaro,2013,Compact Cars,Rear-Wheel Drive,Manual 6-spd,Regular Gasoline,6,3.6,93,0,16.8538,21.0,27.4851,39.0,20.4056,436,5,5
32397,Chevrolet,Camaro,2013,Compact Cars,Rear-Wheel Drive,Automatic (S6),Regular Gasoline,8,6.2,93,0,15.5432,19.2561,24.0791,33.7648,18.4933,480,4,4
32398,Audi,A8,2013,Midsize Cars,All-Wheel Drive,Automatic (S8),Premium Gasoline,6,3.0,0,100,17.8058,22.5575,27.5484,37.3745,21.1758,418,5,5
32399,Buick,Regal eAssist,2013,Midsize Cars,Front-Wheel Drive,Automatic (S6),Regular Gasoline,4,2.4,0,98,24.7726,31.9796,36.0,51.8816,28.6813,312,8,8
32400,Buick,LaCrosse eAssist,2013,Midsize Cars,Front-Wheel Drive,Automatic (S6),Regular Gasoline,4,2.4,0,100,24.7726,31.9796,36.0,51.8816,28.6813,312,8,8
32401,Cadillac,CTS,2013,Midsize Cars,Rear-Wheel Drive,Manual 6-spd,Premium Gasoline,8,6.2,99,99,14.2081,17.5,19.0116,26.2,16.0308,554,3,3
32402,Cadillac,CTS,2013,Midsize Cars,Rear-Wheel Drive,Automatic (S6),Regular Gasoline,8,6.2,99,99,11.7417,14.3089,17.7734,24.391,13.857999999999999,641,2,2
32403,Dodge,Dart,2013,Midsize Cars,Front-Wheel Drive,Manual 6-spd,Premium Gasoline,4,1.4,0,0,26.9575,35.1499,38.1314,56.1993,31.0523,285,8,8
32404,Dodge,Dart,2013,Midsize Cars,Front-Wheel Drive,Manual 6-spd,Regular Gasoline,4,2.0,0,0,24.891,32.1499,35.2717,51.45,28.6907,309,8,8
32405,Infiniti,M37x,2013,Midsize Cars,All-Wheel Drive,Automatic (S7),Premium Gasoline,6,3.7,0,104,17.5243,21.9,23.8388,33.4,19.8958,447,5,5
32406,Audi,A8 L,2013,Large Cars,All-Wheel Drive,Automatic (S8),Premium Gasoline,6,3.0,0,107,17.8058,22.5575,27.5484,37.3745,21.1758,418,5,5
32407,Hyundai,Equus,2013,Large Cars,Rear-Wheel Drive,Automatic 8-spd,Premium Gasoline,8,5.0,0,111,15.4152,19.0869,23.0697,32.2369,18.1208,493,4,4
32408,Porsche,Panamera,2013,Large Cars,Rear-Wheel Drive,Automatic 7-spd,Premium Gasoline,6,3.6,0,98,18.0431,22.6,26.3879,37.3,21.0368,422,5,5
32409,Porsche,Panamera 4,2013,Large Cars,4-Wheel Drive,Automatic 7-spd,Premium Gasoline,6,3.6,0,98,17.7469,22.2,25.8687,36.5,20.6668,429,5,5
32485,Infiniti,G37 Convertible,2013,Subcompact Cars,Rear-Wheel Drive,Automatic (S7),Premium Gasoline,6,3.7,78,0,17.354,21.6709,25.0312,35.2157,20.1327,441,5,5
32486,Infiniti,G37 Convertible,2013,Subcompact Cars,Rear-Wheel Drive,Manual 6-spd,Premium Gasoline,6,3.7,78,0,16.2544,20.2,23.5087,32.9,18.8755,474,4,4
32487,Infiniti,G37 Coupe,2013,Subcompact Cars,Rear-Wheel Drive,Manual 6-spd,Premium Gasoline,6,3.7,85,0,16.6636,20.7457,24.726,34.7496,19.5291,454,5,5
32488,Infiniti,G37 Coupe,2013,Subcompact Cars,Rear-Wheel Drive,Automatic (S7),Premium Gasoline,6,3.7,85,0,18.9107,23.7778,26.3108,37.181,21.651,411,5,5
32489,Infiniti,G37x Coupe,2013,Subcompact Cars,All-Wheel Drive,Automatic (S7),Premium Gasoline,6,3.7,85,0,17.7872,22.2543,24.9791,35.1361,20.4348,435,5,5
32490,Buick,LaCrosse,2013,Midsize Cars,Front-Wheel Drive,Automatic (S6),Regular Gasoline,6,3.6,0,100,17.3012,21.6,27.0,38.5,20.6799,433,5,5
32491,Infiniti,M56,2013,Midsize Cars,Rear-Wheel Drive,Automatic (S7),Premium Gasoline,8,5.6,0,104,15.6992,19.4626,24.2328,33.9984,18.6555,476,4,4
32492,Infiniti,M56x,2013,Midsize Cars,All-Wheel Drive,Automatic (S7),Premium Gasoline,8,5.6,0,104,15.6967,19.4593,22.9117,31.9986,18.2883,487,4,4
32493,Infiniti,M35h,2013,Midsize Cars,Rear-Wheel Drive,Automatic (S7),Premium Gasoline,6,3.5,0,104,26.6501,34.7,31.4791,45.3,28.6262,312,8,8
32494,Infiniti,M37,2013,Midsize Cars,Rear-Wheel Drive,Automatic (S7),Premium Gasoline,6,3.7,0,104,18.3622,23.0321,26.0544,36.7857,21.1755,420,5,5
32495,Subaru,Legacy AWD,2013,Midsize Cars,All-Wheel Drive,Manual 6-spd,Regular Gasoline,4,2.5,0,103,21.1244,26.8246,27.7142,39.3566,23.6555,375,6,6
32496,Subaru,Legacy AWD,2013,Midsize Cars,All-Wheel Drive,Automatic (variable gear ratios),Regular Gasoline,4,2.5,0,103,24.0036,30.8789,31.6199,45.5255,26.9217,330,7,7
32497,Subaru,Legacy AWD,2013,Midsize Cars,All-Wheel Drive,Automatic (S5),Regular Gasoline,6,3.6,0,103,17.5343,21.9134,24.3935,34.2429,20.0744,443,5,5
32498,Cadillac,XTS,2013,Large Cars,Front-Wheel Drive,Automatic (S6),Regular Gasoline,6,3.6,0,104,17.3012,21.6,27.1633,38.5,20.6799,430,5,5
32519,Porsche,911 Turbo,2013,Minicompact Cars,Rear-Wheel Drive,Automatic 7-spd,Premium Gasoline,6,3.8,70,0,16.5545,20.6,24.430999999999997,34.3,19.3638,458,4,4
32520,Porsche,911 Turbo Cabriolet,2013,Minicompact Cars,Rear-Wheel Drive,Automatic 7-spd,Premium Gasoline,6,3.8,70,0,15.9151,19.7489,24.134,33.8482,18.7955,476,4,4
32521,Porsche,911 Turbo S,2013,Minicompact Cars,Rear-Wheel Drive,Automatic 7-spd,Premium Gasoline,6,3.8,70,0,16.5545,20.6,24.430999999999997,34.3,19.3638,458,4,4
32522,Porsche,911 Turbo S Cabriolet,2013,Minicompact Cars,Rear-Wheel Drive,Automatic 7-spd,Premium Gasoline,6,3.8,70,0,15.9151,19.7489,24.134,33.8482,18.7955,476,4,4
32523,Porsche,911 Turbo,2013,Minicompact Cars,Rear-Wheel Drive,Manual 6-spd,Premium Gasoline,6,3.8,70,0,16.4796,20.5,23.7068,33.2,19.0998,464,4,4
32524,Porsche,911 Turbo Cabriolet,2013,Minicompact Cars,Rear-Wheel Drive,Manual 6-spd,Premium Gasoline,6,3.8,70,0,16.1041,20.0,23.6408,33.1,18.8013,470,4,4
32525,Ford,Fiesta FWD,2013,Subcompact Cars,Front-Wheel Drive,Automatic (AM6),Regular Gasoline,4,1.6,0,85,28.9521,38.1,37.3549,54.9,32.2129,275,8,8
32526,Ford,Fiesta FWD,2013,Subcompact Cars,Front-Wheel Drive,Manual 5-spd,Regular Gasoline,4,1.6,0,85,28.8312,37.9197,37.2646,54.7494,32.1003,276,8,8
32527,Ford,Fiesta SFE FWD,2013,Subcompact Cars,Front-Wheel Drive,Automatic (AM6),Regular Gasoline,4,1.6,0,85,28.9735,38.132,38.1655,56.2565,32.4954,272,8,8
32528,Buick,Verano,2013,Compact Cars,Front-Wheel Drive,Automatic (S6),Regular Gasoline,4,2.4,0,91,20.7463,26.3,30.9781,44.5,24.3682,363,6,6
32529,Chevrolet,Camaro,2013,Compact Cars,Rear-Wheel Drive,Automatic (S6),Regular Gasoline,6,3.6,93,0,17.7469,22.2,26.4527,37.4,20.8321,427,5,5
32530,Scion,tC,2013,Compact Cars,Front-Wheel Drive,Manual 6-spd,Regular Gasoline,4,2.5,0,0,22.5845,28.8674,29.9861,42.9242,25.4065,348,7,7
32531,Scion,tC,2013,Compact Cars,Front-Wheel Drive,Automatic (S6),Regular Gasoline,4,2.5,0,0,22.4966,28.7437,30.1758,43.2247,25.406,348,7,7
32532,Subaru,Impreza AWD,2013,Compact Cars,All-Wheel Drive,Automatic (variable gear ratios),Regular Gasoline,4,2.0,0,96,26.6657,34.7227,34.7644,50.6177,29.7885,299,8,8
32533,Subaru,Impreza AWD,2013,Compact Cars,All-Wheel Drive,Manual 5-spd,Premium Gasoline,4,2.5,0,96,18.6743,23.456,24.5412,34.4678,20.9254,426,5,5
32534,Subaru,Impreza AWD,2013,Compact Cars,All-Wheel Drive,Manual 6-spd,Premium Gasoline,4,2.5,0,96,16.7674,20.8845,22.5537,31.4599,18.9559,468,4,4
32535,Buick,LaCrosse,2013,Midsize Cars,Front-Wheel Drive,Automatic (S6),Regular Gasoline,6,3.6,0,100,17.2268,21.5,26.9053,38.1,20.554000000000002,432,5,5
32536,Buick,Regal,2013,Midsize Cars,Front-Wheel Drive,Automatic (S6),Regular Gasoline,4,2.0,0,98,18.3385,23.0,28.1266,40.0,21.7436,409,5,5
32537,Buick,Regal,2013,Midsize Cars,Front-Wheel Drive,Manual 6-spd,Regular Gasoline,4,2.0,0,98,19.8039,25.0,30.9781,44.5,23.6414,376,6,6
32538,Buick,Regal,2013,Midsize Cars,Front-Wheel Drive,Automatic (S6),Regular Gasoline,4,2.0,0,98,18.3385,23.0,28.1266,40.0,21.7436,409,5,5
32539,Cadillac,CTS,2013,Midsize Cars,Rear-Wheel Drive,Automatic (S6),Regular Gasoline,6,3.6,99,99,17.7469,22.2,26.4527,37.4,20.8321,427,5,5
32540,Chevrolet,Cruze Eco,2013,Midsize Cars,Front-Wheel Drive,Automatic 6-spd,Regular Gasoline,4,1.4,0,94,25.9637,33.7,37.3849,54.95,30.101999999999997,295,8,8
32541,Chevrolet,Cruze,2013,Midsize Cars,Front-Wheel Drive,Manual 6-spd,Regular Gasoline,4,1.4,0,94,25.9637,33.7,36.5133,53.5,29.8439,298,8,8
32542,Chevrolet,Cruze Eco,2013,Midsize Cars,Front-Wheel Drive,Manual 6-spd,Regular Gasoline,4,1.4,0,94,27.8749,36.5,40.2019,59.7,32.3368,273,8,8
32543,Chevrolet,Cruze,2013,Midsize Cars,Front-Wheel Drive,Automatic (S6),Regular Gasoline,4,1.4,0,94,25.6879,33.3,36.4832,53.45,29.6338,300,8,8
32544,Chevrolet,Cruze,2013,Midsize Cars,Front-Wheel Drive,Manual 6-spd,Regular Gasoline,4,1.8,0,94,24.7868,32.0,35.2413,51.4,28.6055,309,8,8
32545,Chevrolet,Cruze,2013,Midsize Cars,Front-Wheel Drive,Automatic (S6),Regular Gasoline,4,1.8,0,94,22.3233,28.5,33.8346,49.1,26.3588,336,7,7
32560,Audi,A5 quattro,2013,Subcompact Cars,All-Wheel Drive,Manual 6-spd,Premium Gasoline,4,2.0,84,0,22.2425,27.624000000000002,32.0861,43.9699,25.805,343,7,7
32561,Audi,S5,2013,Subcompact Cars,All-Wheel Drive,Automatic (AM-S7),Premium Gasoline,6,3.0,84,0,18.117,22.4,27.558000000000003,35.8,21.419,413,5,5
32562,Audi,S5 Cabriolet,2013,Subcompact Cars,All-Wheel Drive,Automatic (AM-S7),Premium Gasoline,6,3.0,81,0,17.6699,22.1,25.953000000000003,34.7,20.6333,429,5,5
32563,Audi,S5,2013,Subcompact Cars,All-Wheel Drive,Manual 6-spd,Premium Gasoline,6,3.0,84,0,17.0438,20.0,26.023000000000003,33.4,20.1767,439,5,5
32564,Audi,RS 5,2013,Subcompact Cars,All-Wheel Drive,Automatic (AM-S7),Premium Gasoline,8,4.2,84,0,15.7409,19.1,23.3075,30.0,18.4339,480,4,4
32565,Audi,TT Coupe quattro,2013,Subcompact Cars,All-Wheel Drive,Automatic (AM-S6),Premium Gasoline,4,2.0,74,0,22.406999999999996,28.4068,31.1674,42.2579,25.6515,345,7,7
32566,Audi,TT RS Coupe,2013,Subcompact Cars,All-Wheel Drive,Manual 6-spd,Premium Gasoline,5,2.5,0,0,17.750999999999998,21.2,25.2021,34.2,20.4751,432,5,5
32567,Chevrolet,Spark,2013,Subcompact Cars,Front-Wheel Drive,Manual 5-spd,Regular Gasoline,4,1.2,0,86,31.2715,41.6,36.8746,54.1,33.5667,265,9,9
32568,Roush Performance,Stage 3 Mustang,2013,Subcompact Cars,Rear-Wheel Drive,Manual 6-spd,Premium Gasoline,8,5.0,83,0,14.0551,17.3,21.7131,30.2,16.7066,530,4,4
32569,Roush Performance,Stage 3 Mustang,2013,Subcompact Cars,Rear-Wheel Drive,Automatic 6-spd,Premium Gasoline,8,5.0,83,0,15.7274,19.5,22.5138,31.4,18.1955,488,4,4
32570,Volkswagen,Eos,2013,Subcompact Cars,Front-Wheel Drive,Automatic (AM-S6),Premium Gasoline,4,2.0,77,0,21.7634,27.5,30.1121,41.5,24.8658,354,6,6
32571,Volvo,C70 FWD,2013,Subcompact Cars,Front-Wheel Drive,Automatic (S5),Regular Gasoline,5,2.5,84,0,18.7066,23.5,27.4208,38.9,21.8282,400,5,5
32572,Audi,A4 quattro,2013,Compact Cars,All-Wheel Drive,Manual 6-spd,Premium Gasoline,4,2.0,0,91,22.2425,27.624000000000002,32.0861,43.9699,25.805,343,7,7
32573,Audi,S4,2013,Compact Cars,All-Wheel Drive,Automatic (AM-S7),Premium Gasoline,6,3.0,0,90,18.117,22.4,27.558000000000003,35.8,21.419,413,5,5
