id,species,generation_id,height,weight,base_experience,type_1,type_2,hp,attack,defense,speed,special-attack,special-defense
151,mew,1,0.4,4.0,270,psychic,,100,100,100,100,100,100
152,chikorita,2,0.9,6.4,64,grass,,45,49,65,45,49,65
153,bayleef,2,1.2,15.8,142,grass,,60,62,80,60,63,80
154,meganium,2,1.8,100.5,236,grass,,80,82,100,80,83,100
155,cyndaquil,2,0.5,7.9,62,fire,,39,52,43,65,60,50
156,quilava,2,0.9,19.0,142,fire,,58,64,58,80,80,65
157,typhlosion,2,1.7,79.5,240,fire,,78,84,78,100,109,85
158,totodile,2,0.6,9.5,63,water,,50,65,64,43,44,48
159,croconaw,2,1.1,25.0,142,water,,65,80,80,58,59,63
160,feraligatr,2,2.3,88.8,239,water,,85,105,100,78,79,83
161,sentret,2,0.8,6.0,43,normal,,35,46,34,20,35,45
162,furret,2,1.8,32.5,145,normal,,85,76,64,90,45,55
163,hoothoot,2,0.7,21.2,52,normal,flying,60,30,30,50,36,56
164,noctowl,2,1.6,40.8,158,normal,flying,100,50,50,70,86,96
165,ledyba,2,1.0,10.8,53,bug,flying,40,20,30,55,40,80
166,ledian,2,1.4,35.6,137,bug,flying,55,35,50,85,55,110
167,spinarak,2,0.5,8.5,50,bug,poison,40,60,40,30,40,40
168,ariados,2,1.1,33.5,140,bug,poison,70,90,70,40,60,70
169,crobat,2,1.8,75.0,241,poison,flying,85,90,80,130,70,80
170,chinchou,2,0.5,12.0,66,water,electric,75,38,38,67,56,56
171,lanturn,2,1.2,22.5,161,water,electric,125,58,58,67,76,76
172,pichu,2,0.3,2.0,41,electric,,20,40,15,60,35,35
173,cleffa,2,0.3,3.0,44,fairy,,50,25,28,15,45,55
174,igglybuff,2,0.3,1.0,42,normal,fairy,90,30,15,15,40,20
175,togepi,2,0.3,1.5,49,fairy,,35,20,65,20,40,65
176,togetic,2,0.6,3.2,142,fairy,flying,55,40,85,40,80,105
177,natu,2,0.2,2.0,64,psychic,flying,40,50,45,70,70,45
178,xatu,2,1.5,15.0,165,psychic,flying,65,75,70,95,95,70
179,mareep,2,0.6,7.8,56,electric,,55,40,40,35,65,45
180,flaaffy,2,0.8,13.3,128,electric,,70,55,55,45,80,60
181,ampharos,2,1.4,61.5,230,electric,,90,75,85,55,115,90
182,bellossom,2,0.4,5.8,221,grass,,75,80,95,50,90,100
183,marill,2,0.4,8.5,88,water,fairy,70,20,50,40,20,50
184,azumarill,2,0.8,28.5,189,water,fairy,100,50,80,50,60,80
185,sudowoodo,2,1.2,38.0,144,rock,,70,100,115,30,30,65
186,politoed,2,1.1,33.9,225,water,,90,75,75,70,90,100
187,hoppip,2,0.4,0.5,50,grass,flying,35,35,40,50,35,55
188,skiploom,2,0.6,1.0,119,grass,flying,55,45,50,80,45,65
189,jumpluff,2,0.8,3.0,207,grass,flying,75,55,70,110,55,95
190,aipom,2,0.8,11.5,72,normal,,55,70,55,85,40,55
191,sunkern,2,0.3,1.8,36,grass,,30,30,30,30,30,30
192,sunflora,2,0.8,8.5,149,grass,,75,75,55,30,105,85
193,yanma,2,1.2,38.0,78,bug,flying,65,65,45,95,75,45
194,wooper,2,0.4,8.5,42,water,ground,55,45,45,15,25,25
195,quagsire,2,1.4,75.0,151,water,ground,95,85,85,35,65,65
196,espeon,2,0.9,26.5,184,psychic,,65,65,60,110,130,95
197,umbreon,2,1.0,27.0,184,dark,,95,65,110,65,60,130
198,murkrow,2,0.5,2.1,81,dark,flying,60,85,42,91,85,42
199,slowking,2,2.0,79.5,172,water,psychic,95,75,80,30,100,110
200,misdreavus,2,0.7,1.0,87,ghost,,60,60,60,85,85,85
201,unown,2,0.5,5.0,118,psychic,,48,72,48,48,72,48
202,wobbuffet,2,1.3,28.5,142,psychic,,190,33,58,33,33,58
203,girafarig,2,1.5,41.5,159,normal,psychic,70,80,65,85,90,65
204,pineco,2,0.6,7.2,58,bug,,50,65,90,15,35,35
205,forretress,2,1.2,125.8,163,bug,steel,75,90,140,40,60,60
206,dunsparce,2,1.5,14.0,145,normal,,100,70,70,45,65,65
207,gligar,2,1.1,64.8,86,ground,flying,65,75,105,85,35,65
208,steelix,2,9.2,400.0,179,steel,ground,75,85,200,30,55,65
209,snubbull,2,0.6,7.8,60,fairy,,60,80,50,30,40,40
210,granbull,2,1.4,48.7,158,fairy,,90,120,75,45,60,60
211,qwilfish,2,0.5,3.9,88,water,poison,65,95,85,85,55,55
212,scizor,2,1.8,118.0,175,bug,steel,70,130,100,65,55,80
213,shuckle,2,0.6,20.5,177,bug,rock,20,10,230,5,10,230
214,heracross,2,1.5,54.0,175,bug,fighting,80,125,75,85,40,95
215,sneasel,2,0.9,28.0,86,dark,ice,55,95,55,115,35,75
216,teddiursa,2,0.6,8.8,66,normal,,60,80,50,40,50,50
217,ursaring,2,1.8,125.8,175,normal,,90,130,75,55,75,75
218,slugma,2,0.7,35.0,50,fire,,40,40,40,20,70,40
219,magcargo,2,0.8,55.0,151,fire,rock,60,50,120,30,90,80
220,swinub,2,0.4,6.5,50,ice,ground,50,50,40,50,30,30
221,piloswine,2,1.1,55.8,158,ice,ground,100,100,80,50,60,60
222,corsola,2,0.6,5.0,144,water,rock,65,55,95,35,65,95
223,remoraid,2,0.6,12.0,60,water,,35,65,35,65,65,35
224,octillery,2,0.9,28.5,168,water,,75,105,75,45,105,75
225,delibird,2,0.9,16.0,116,ice,flying,45,55,45,75,65,45
226,mantine,2,2.1,220.0,170,water,flying,85,40,70,70,80,140
227,skarmory,2,1.7,50.5,163,steel,flying,65,80,140,70,40,70
228,houndour,2,0.6,10.8,66,dark,fire,45,60,30,65,80,50
229,houndoom,2,1.4,35.0,175,dark,fire,75,90,50,95,110,80
230,kingdra,2,1.8,152.0,243,water,dragon,75,95,95,85,95,95
231,phanpy,2,0.5,33.5,66,ground,,90,60,60,40,40,40
232,donphan,2,1.1,120.0,175,ground,,90,120,120,50,60,60
233,porygon2,2,0.6,32.5,180,normal,,85,80,90,60,105,95
234,stantler,2,1.4,71.2,163,normal,,73,95,62,85,85,65
235,smeargle,2,1.2,58.0,88,normal,,55,20,35,75,20,45
236,tyrogue,2,0.7,21.0,42,fighting,,35,35,35,35,35,35
237,hitmontop,2,1.4,48.0,159,fighting,,50,95,95,70,35,110
238,smoochum,2,0.4,6.0,61,ice,psychic,45,30,15,65,85,65
239,elekid,2,0.6,23.5,72,electric,,45,63,37,95,65,55
240,magby,2,0.7,21.4,73,fire,,45,75,37,83,70,55
241,miltank,2,1.2,75.5,172,normal,,95,80,105,100,40,70
242,blissey,2,1.5,46.8,608,normal,,255,10,10,55,75,135
243,raikou,2,1.9,178.0,261,electric,,90,85,75,115,115,100
244,entei,2,2.1,198.0,261,fire,,115,115,85,100,90,75
245,suicune,2,2.0,187.0,261,water,,100,75,115,85,90,115
246,larvitar,2,0.6,72.0,60,rock,ground,50,64,50,41,45,50
247,pupitar,2,1.2,152.0,144,rock,ground,70,84,70,51,65,70
248,tyranitar,2,2.0,202.0,270,rock,dark,100,134,110,61,95,100
249,lugia,2,5.2,216.0,306,psychic,flying,106,90,130,110,90,154
250,ho-oh,2,3.8,199.0,306,fire,flying,106,130,90,90,110,154
251,celebi,2,0.6,5.0,270,psychic,grass,100,100,100,100,100,100
252,treecko,3,0.5,5.0,62,grass,,40,45,35,70,65,55
253,grovyle,3,0.9,21.6,142,grass,,50,65,45,95,85,65
254,sceptile,3,1.7,52.2,239,grass,,70,85,65,120,105,85
255,torchic,3,0.4,2.5,62,fire,,45,60,40,45,70,50
256,combusken,3,0.9,19.5,142,fire,fighting,60,85,60,55,85,60
257,blaziken,3,1.9,52.0,239,fire,fighting,80,120,70,80,110,70
258,mudkip,3,0.4,7.6,62,water,,50,70,50,40,50,50
259,marshtomp,3,0.7,28.0,142,water,ground,70,85,70,50,60,70
260,swampert,3,1.5,81.9,241,water,ground,100,110,90,60,85,90
261,poochyena,3,0.5,13.6,56,dark,,35,55,35,35,30,30
262,mightyena,3,1.0,37.0,147,dark,,70,90,70,70,60,60
263,zigzagoon,3,0.4,17.5,56,normal,,38,30,41,60,30,41
264,linoone,3,0.5,32.5,147,normal,,78,70,61,100,50,61
265,wurmple,3,0.3,3.6,56,bug,,45,45,35,20,20,30
266,silcoon,3,0.6,10.0,72,bug,,50,35,55,15,25,25
267,beautifly,3,1.0,28.4,178,bug,flying,60,70,50,65,100,50
268,cascoon,3,0.7,11.5,72,bug,,50,35,55,15,25,25
269,dustox,3,1.2,31.6,173,bug,poison,60,50,70,65,50,90
270,lotad,3,0.5,2.6,44,water,grass,40,30,30,30,40,50
271,lombre,3,1.2,32.5,119,water,grass,60,50,50,50,60,70
272,ludicolo,3,1.5,55.0,216,water,grass,80,70,70,70,90,100
273,seedot,3,0.5,4.0,44,grass,,40,40,50,30,30,30
274,nuzleaf,3,1.0,28.0,119,grass,dark,70,70,40,60,60,40
275,shiftry,3,1.3,59.6,216,grass,dark,90,100,60,80,90,60
276,taillow,3,0.3,2.3,54,normal,flying,40,55,30,85,30,30
277,swellow,3,0.7,19.8,159,normal,flying,60,85,60,125,75,50
278,wingull,3,0.6,9.5,54,water,flying,40,30,30,85,55,30
279,pelipper,3,1.2,28.0,154,water,flying,60,50,100,65,95,70
280,ralts,3,0.4,6.6,40,psychic,fairy,28,25,25,40,45,35
281,kirlia,3,0.8,20.2,97,psychic,fairy,38,35,35,50,65,55
282,gardevoir,3,1.6,48.4,233,psychic,fairy,68,65,65,80,125,115
283,surskit,3,0.5,1.7,54,bug,water,40,30,32,65,50,52
284,masquerain,3,0.8,3.6,159,bug,flying,70,60,62,80,100,82
285,shroomish,3,0.4,4.5,59,grass,,60,40,60,35,40,60
286,breloom,3,1.2,39.2,161,grass,fighting,60,130,80,70,60,60
287,slakoth,3,0.8,24.0,56,normal,,60,60,60,30,35,35
288,vigoroth,3,1.4,46.5,154,normal,,80,80,80,90,55,55
289,slaking,3,2.0,130.5,252,normal,,150,160,100,100,95,65
290,nincada,3,0.5,5.5,53,bug,ground,31,45,90,40,30,30
291,ninjask,3,0.8,12.0,160,bug,flying,61,90,45,160,50,50
292,shedinja,3,0.8,1.2,83,bug,ghost,1,90,45,40,30,30
293,whismur,3,0.6,16.3,48,normal,,64,51,23,28,51,23
294,loudred,3,1.0,40.5,126,normal,,84,71,43,48,71,43
295,exploud,3,1.5,84.0,221,normal,,104,91,63,68,91,73
296,makuhita,3,1.0,86.4,47,fighting,,72,60,30,25,20,30
297,hariyama,3,2.3,253.8,166,fighting,,144,120,60,50,40,60
298,azurill,3,0.2,2.0,38,normal,fairy,50,20,40,20,20,40
299,nosepass,3,1.0,97.0,75,rock,,30,45,135,30,45,90
300,skitty,3,0.6,11.0,52,normal,,50,45,45,50,35,35
301,delcatty,3,1.1,32.6,140,normal,,70,65,65,90,55,55
302,sableye,3,0.5,11.0,133,dark,ghost,50,75,75,50,65,65
303,mawile,3,0.6,11.5,133,steel,fairy,50,85,85,50,55,55
304,aron,3,0.4,60.0,66,steel,rock,50,70,100,30,40,40
305,lairon,3,0.9,120.0,151,steel,rock,60,90,140,40,50,50
306,aggron,3,2.1,360.0,239,steel,rock,70,110,180,50,60,60
307,meditite,3,0.6,11.2,56,fighting,psychic,30,40,55,60,40,55
308,medicham,3,1.3,31.5,144,fighting,psychic,60,60,75,80,60,75
309,electrike,3,0.6,15.2,59,electric,,40,45,40,65,65,40
310,manectric,3,1.5,40.2,166,electric,,70,75,60,105,105,60
311,plusle,3,0.4,4.2,142,electric,,60,50,40,95,85,75
312,minun,3,0.4,4.2,142,electric,,60,40,50,95,75,85
313,volbeat,3,0.7,17.7,151,bug,,65,73,75,85,47,85
314,illumise,3,0.6,17.7,151,bug,,65,47,75,85,73,85
315,roselia,3,0.3,2.0,140,grass,poison,50,60,45,65,100,80
316,gulpin,3,0.4,10.3,60,poison,,70,43,53,40,43,53
317,swalot,3,1.7,80.0,163,poison,,100,73,83,55,73,83
318,carvanha,3,0.8,20.8,61,water,dark,45,90,20,65,65,20
319,sharpedo,3,1.8,88.8,161,water,dark,70,120,40,95,95,40
320,wailmer,3,2.0,130.0,80,water,,130,70,35,60,70,35
321,wailord,3,14.5,398.0,175,water,,170,90,45,60,90,45
322,numel,3,0.7,24.0,61,fire,ground,60,60,40,35,65,45
323,camerupt,3,1.9,220.0,161,fire,ground,70,100,70,40,105,75
324,torkoal,3,0.5,80.4,165,fire,,70,85,140,20,85,70
325,spoink,3,0.7,30.6,66,psychic,,60,25,35,60,70,80
326,grumpig,3,0.9,71.5,165,psychic,,80,45,65,80,90,110
327,spinda,3,1.1,5.0,126,normal,,60,60,60,60,60,60
328,trapinch,3,0.7,15.0,58,ground,,45,100,45,10,45,45
329,vibrava,3,1.1,15.3,119,ground,dragon,50,70,50,70,50,50
330,flygon,3,2.0,82.0,234,ground,dragon,80,100,80,100,80,80
331,cacnea,3,0.4,51.3,67,grass,,50,85,40,35,85,40
332,cacturne,3,1.3,77.4,166,grass,dark,70,115,60,55,115,60
333,swablu,3,0.4,1.2,62,normal,flying,45,40,60,50,40,75
334,altaria,3,1.1,20.6,172,dragon,flying,75,70,90,80,70,105
335,zangoose,3,1.3,40.3,160,normal,,73,115,60,90,60,60
336,seviper,3,2.7,52.5,160,poison,,73,100,60,65,100,60
337,lunatone,3,1.0,168.0,161,rock,psychic,90,55,65,70,95,85
338,solrock,3,1.2,154.0,161,rock,psychic,90,95,85,70,55,65
339,barboach,3,0.4,1.9,58,water,ground,50,48,43,60,46,41
340,whiscash,3,0.9,23.6,164,water,ground,110,78,73,60,76,71
341,corphish,3,0.6,11.5,62,water,,43,80,65,35,50,35
342,crawdaunt,3,1.1,32.8,164,water,dark,63,120,85,55,90,55
343,baltoy,3,0.5,21.5,60,ground,psychic,40,40,55,55,40,70
344,claydol,3,1.5,108.0,175,ground,psychic,60,70,105,75,70,120
345,lileep,3,1.0,23.8,71,rock,grass,66,41,77,23,61,87
346,cradily,3,1.5,60.4,173,rock,grass,86,81,97,43,81,107
347,anorith,3,0.7,12.5,71,rock,bug,45,95,50,75,40,50
348,armaldo,3,1.5,68.2,173,rock,bug,75,125,100,45,70,80
349,feebas,3,0.6,7.4,40,water,,20,15,20,80,10,55
350,milotic,3,6.2,162.0,189,water,,95,60,79,81,100,125
351,castform,3,0.3,0.8,147,normal,,70,70,70,70,70,70
352,kecleon,3,1.0,22.0,154,normal,,60,90,70,40,60,120
353,shuppet,3,0.6,2.3,59,ghost,,44,75,35,45,63,33
354,banette,3,1.1,12.5,159,ghost,,64,115,65,65,83,63
355,duskull,3,0.8,15.0,59,ghost,,20,40,90,25,30,90
356,dusclops,3,1.6,30.6,159,ghost,,40,70,130,25,60,130
357,tropius,3,2.0,100.0,161,grass,flying,99,68,83,51,72,87
358,chimecho,3,0.6,1.0,159,psychic,,75,50,80,65,95,90
359,absol,3,1.2,47.0,163,dark,,65,130,60,75,75,60
360,wynaut,3,0.6,14.0,52,psychic,,95,23,48,23,23,48
361,snorunt,3,0.7,16.8,60,ice,,50,50,50,50,50,50
362,glalie,3,1.5,256.5,168,ice,,80,80,80,80,80,80
363,spheal,3,0.8,39.5,58,ice,water,70,40,50,25,55,50
364,sealeo,3,1.1,87.6,144,ice,water,90,60,70,45,75,70
365,walrein,3,1.4,150.6,239,ice,water,110,80,90,65,95,90
366,clamperl,3,0.4,52.5,69,water,,35,64,85,32,74,55
367,huntail,3,1.7,27.0,170,water,,55,104,105,52,94,75
368,gorebyss,3,1.8,22.6,170,water,,55,84,105,52,114,75
369,relicanth,3,1.0,23.4,170,water,rock,100,90,130,55,45,65
370,luvdisc,3,0.6,8.7,116,water,,43,30,55,97,40,65
371,bagon,3,0.6,42.1,60,dragon,,45,75,60,50,40,30
372,shelgon,3,1.1,110.5,147,dragon,,65,95,100,50,60,50
373,salamence,3,1.5,102.6,270,dragon,flying,95,135,80,100,110,80
374,beldum,3,0.6,95.2,60,steel,psychic,40,55,80,30,35,60
375,metang,3,1.2,202.5,147,steel,psychic,60,75,100,50,55,80
376,metagross,3,1.6,550.0,270,steel,psychic,80,135,130,70,95,90
377,regirock,3,1.7,230.0,261,rock,,80,100,200,50,50,100
378,regice,3,1.8,175.0,261,ice,,80,50,100,50,100,200
379,registeel,3,1.9,205.0,261,steel,,80,75,150,50,75,150
380,latias,3,1.4,40.0,270,dragon,psychic,80,80,90,110,110,130
381,latios,3,2.0,60.0,270,dragon,psychic,80,90,80,110,130,110
382,kyogre,3,4.5,352.0,302,water,,100,100,90,90,150,140
383,groudon,3,3.5,950.0,302,ground,,100,150,140,90,100,90
384,rayquaza,3,7.0,206.5,306,dragon,flying,105,150,90,95,150,90
385,jirachi,3,0.3,1.1,270,steel,psychic,100,100,100,100,100,100
386,deoxys,3,1.7,60.8,270,psychic,,50,150,50,150,150,50
387,turtwig,4,0.4,10.2,64,grass,,55,68,64,31,45,55
388,grotle,4,1.1,97.0,142,grass,,75,89,85,36,55,65
389,torterra,4,2.2,310.0,236,grass,ground,95,109,105,56,75,85
390,chimchar,4,0.5,6.2,62,fire,,44,58,44,61,58,44
